Rater,Film,Year,Win,Genres
Oscars,Lawrence of Arabia,1962,1,Adventure
Oscars,The Longest Day,1962,-1,
Oscars,Meredith Willson's The Music Man,1962,-1,
Oscars,Mutiny on the Bounty,1962,-1,Adventure
Oscars,To Kill a Mockingbird,1962,-1,Drama
Oscars,America America,1963,-1,
Oscars,Cleopatra,1963,-1,Drama
Oscars,How the West Was Won,1963,-1,Adventure
Oscars,Lilies of the Field,1963,-1,Drama
Oscars,Tom Jones,1963,1,Adventure
Oscars,Becket,1964,-1,Drama
Oscars,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,-1,Comedy
Oscars,Mary Poppins,1964,-1,Children
Oscars,My Fair Lady,1964,1,Comedy
Oscars,Zorba the Greek,1964,-1,Adventure
Oscars,Darling,1965,-1,Drama
Oscars,Doctor Zhivago,1965,-1,Drama
Oscars,Ship of Fools,1965,-1,Drama
Oscars,The Sound of Music,1965,1,
Oscars,A Thousand Clowns,1965,-1,
Oscars,Alfie,1966,-1,Comedy
Oscars,A Man for All Seasons,1966,1,
Oscars,The Russians Are Coming The Russians Are Coming,1966,-1,
Oscars,The Sand Pebbles,1966,-1,
Oscars,Who's Afraid of Virginia Woolf?,1966,-1,Drama
Oscars,Bonnie and Clyde,1967,-1,Crime
Oscars,Doctor Dolittle,1967,-1,Adventure
Oscars,The Graduate,1967,-1,
Oscars,Guess Who's Coming to Dinner,1967,-1,Drama
Oscars,In the Heat of the Night,1967,1,Drama
Oscars,Funny Girl,1968,-1,Drama
Oscars,The Lion in Winter,1968,-1,
Oscars,Oliver!,1968,1,Drama
Oscars,"Rachel, Rachel",1968,-1,Drama
Oscars,Romeo and Juliet,1968,-1,Drama
Oscars,Anne of the Thousand Days,1969,-1,Drama
Oscars,Butch Cassidy and the Sundance Kid,1969,-1,Action
Oscars,"Hello, Dolly!",1969,-1,Comedy
Oscars,Midnight Cowboy,1969,1,Drama
Oscars,Z,1969,-1,Drama
Oscars,Airport,1970,-1,Drama
Oscars,Five Easy Pieces,1970,-1,Drama
Oscars,Love Story,1970,-1,Drama
Oscars,M*A*S*H,1970,-1,Comedy
Oscars,Patton,1970,1,Drama
Oscars,A Clockwork Orange,1971,-1,
Oscars,Fiddler on the Roof,1971,-1,Drama
Oscars,The French Connection,1971,1,
Oscars,The Last Picture Show,1971,-1,
Oscars,Nicholas and Alexandra,1971,-1,Drama
Oscars,Cabaret,1972,-1,Drama
Oscars,Deliverance,1972,-1,Adventure
Oscars,The Emigrants,1972,-1,
Oscars,The Godfather,1972,1,
Oscars,Sounder,1972,-1,Drama
Oscars,American Graffiti,1973,-1,Comedy
Oscars,Cries and Whispers,1973,-1,Drama
Oscars,The Exorcist,1973,-1,
Oscars,The Sting,1973,1,Comedy
Oscars,A Touch of Class,1973,-1,
Oscars,Chinatown,1974,-1,Crime
Oscars,The Conversation,1974,-1,
Oscars,The Godfather Part II,1974,1,
Oscars,Lenny,1974,-1,Drama
Oscars,The Towering Inferno,1974,-1,
Oscars,Barry Lyndon,1975,-1,Drama
Oscars,Dog Day Afternoon,1975,-1,Crime
Oscars,Jaws,1975,-1,Action
Oscars,Nashville,1975,-1,Drama
Oscars,One Flew over the Cuckoo's Nest,1975,1,
Oscars,All the President's Men,1976,-1,Drama
Oscars,Bound for Glory,1976,-1,Drama
Oscars,Network,1976,-1,Comedy
Oscars,Rocky,1976,1,Drama
Oscars,Taxi Driver,1976,-1,Crime
Oscars,Annie Hall,1977,1,Comedy
Oscars,The Goodbye Girl,1977,-1,
Oscars,Julia,1977,-1,Drama
Oscars,Star Wars,1977,-1,
Oscars,The Turning Point,1977,-1,Action
Oscars,Coming Home,1978,-1,Drama
Oscars,The Deer Hunter,1978,1,
Oscars,Heaven Can Wait,1978,-1,Comedy
Oscars,Midnight Express,1978,-1,Drama
Oscars,An Unmarried Woman,1978,-1,
Oscars,All That Jazz,1979,-1,Drama
Oscars,Apocalypse Now,1979,-1,Action
Oscars,Breaking Away,1979,-1,Comedy
Oscars,Kramer vs. Kramer,1979,1,Drama
Oscars,Norma Rae,1979,-1,Drama
Oscars,Coal Miner's Daughter,1980,-1,Drama
Oscars,The Elephant Man,1980,-1,Drama
Oscars,Ordinary People,1980,1,Drama
Oscars,Raging Bull,1980,-1,Drama
Oscars,Tess,1980,-1,Drama
Oscars,Atlantic City,1981,-1,Crime
Oscars,Chariots of Fire,1981,1,Drama
Oscars,On Golden Pond,1981,-1,Drama
Oscars,Raiders of the Lost Ark,1981,-1,Action
Oscars,Reds,1981,-1,Drama
Oscars,E.T. The Extra-Terrestrial,1982,-1,
Oscars,Gandhi,1982,1,Drama
Oscars,Missing,1982,-1,Drama
Oscars,Tootsie,1982,-1,Comedy
